               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071285,            0.027885,            0.031264,            0.093422,             0.47822,             0.15096,            0.060355,            0.024919,            0.010845,            0.018674,             0.07037,           0.0032922,           0.0032922
                   1,            0.046193,            0.022527,            0.027033,             0.14196,             0.18837,             0.20375,            0.099616,            0.025608,           0.0069861,            0.015955,            0.039714,           0.0059696,           0.0059696
                   2,            0.043189,            0.018422,            0.024782,             0.35418,              0.5515,             0.43749,             0.18083,            0.023518,            0.006295,            0.012435,           0.0083985,            0.007987,            0.007987
                   3,            0.040674,            0.017013,            0.022797,             0.47677,             0.59822,             0.57606,             0.31795,            0.021779,           0.0051538,            0.011612,             0.00703,             0.00703,             0.00703
                   4,            0.036213,            0.015946,            0.021759,             0.51122,             0.72672,             0.65753,             0.29645,            0.018958,           0.0044926,            0.010616,             0.00703,             0.00703,             0.00703
                   5,            0.036808,            0.015681,            0.021982,             0.51789,             0.67691,             0.65242,             0.35506,            0.016351,           0.0044331,           0.0097881,             0.00604,             0.00604,             0.00604
                   6,            0.031771,            0.014694,            0.019202,             0.58552,             0.84089,             0.75004,             0.45625,            0.015516,           0.0044431,           0.0088137,             0.00505,             0.00505,             0.00505
                   7,            0.031494,            0.014489,            0.018075,             0.73005,             0.83794,             0.86347,             0.53598,            0.012683,           0.0041652,           0.0061832,             0.00406,             0.00406,             0.00406
                   8,            0.029124,            0.014145,            0.017798,             0.72575,             0.87398,             0.80973,             0.54394,            0.011871,           0.0038722,           0.0070255,             0.00307,             0.00307,             0.00307
                   9,            0.028085,            0.013336,            0.016755,             0.69312,             0.90327,             0.89588,              0.5701,            0.012143,           0.0038907,           0.0054376,             0.00208,             0.00208,             0.00208
